Exc L2-3 IT,0.09437693698649834
Exc L3-4 IT,0.06379212530495572
Exc L3-5 IT,0.010277456954553198
Exc L4-5 IT-1,0.03502212247615446
Exc L4-5 IT-2,0.044512516273421614
Exc L5-6 IT,0.006931031949825505
Exc L5/6 IT Car3,0.00693978404212257
Exc L6 IT,0.02232846289816159
Exc L5/6 NP,0.00667315780178699
Exc L5 ET,0.0012202917259907446
Exc L6 CT,0.007677772967600067
Exc L6b,0.008552357047856753
Exc EC,0.014780721016117916
Exc CA pyramidal cells,0.005035891392786088
Exc DG granule cells,0.005880780874177733
Exc HC,0.002658135460508528
Exc TH,0.00444418743855953
Inh VIP,0.048541291902595464
Inh LAMP5,0.023319324776079283
Inh SST,0.02960301447064689
Inh PVALB,0.0365593649731889
Inh PAX6,0.0030013425084434247
Inh MEIS2,0.0023730673114041325
Ast,0.08056863593952929
Oli,0.3156417080958417
OPC,0.04863975294093744
Mic,0.05557422321273679
T,0.0013256294082804171
Per,0.0023289942751939137
End,0.0033861219947893795
SMC,0.0004469818566000935
Fib,0.0039346906369804036
CPEC,0.0018479417735802466
Epd,0.0018041813120949228
